Irene,1999-10-15 20:09:27,1999-10-16 01:16:33,65.0,-10.0
Bret,1999-08-20 20:42:08,1999-08-21 00:00:28,65.0,30.0
Bret,1999-08-21 17:49:12,1999-08-22 01:43:52,105.0,10.0
Floyd,1999-09-12 18:08:02,1999-09-13 02:05:44,125.0,20.0
Floyd,1999-09-13 17:54:50,1999-09-14 01:36:13,120.0,-20.0
Floyd,1999-09-15 20:29:42,1999-09-16 09:22:15,90.0,-40.0
Dennis,1999-08-26 18:18:07,1999-08-27 01:16:05,65.0,0.0
Dennis,1999-08-29 18:05:22,1999-08-30 01:38:43,90.0,-10.0
Gabrielle,2001-09-15 17:59:29,2001-09-16 00:47:43,47.5,10.0
Gabrielle,2001-09-16 20:16:06,2001-09-17 00:07:59,65.0,10.0
Humberto,2001-09-23 19:40:33,2001-09-24 02:27:14,85.0,-30.0
Humberto,2001-09-24 18:12:14,2001-09-25 00:58:13,65.0,0.0
Michelle,2001-11-03 18:32:10,2001-11-04 05:16:40,115.0,10.0
Michelle,2001-11-04 11:54:12,2001-11-04 17:19:18,120.0,-30.0
Lili,2002-09-30 18:04:25,2002-10-01 01:34:02,70.0,40.0
Lili,2002-10-02 02:50:46,2002-10-02 11:42:11,100.0,45.0
Lili,2002-10-02 17:34:23,2002-10-03 01:03:08,123.33333333333333,-90.0
Edouard,2002-09-03 18:03:34,2002-09-04 01:12:43,40.0,-10.0
Isidore,2002-09-19 06:08:56,2002-09-20 00:26:58,66.66666666666667,50.0
Isidore,2002-09-21 18:24:50,2002-09-22 00:31:37,110.0,0.0
Isidore,2002-09-22 18:13:21,2002-09-23 01:40:36,105.0,-100.0
Isabel,2003-09-12 16:37:26.100000,2003-09-12 21:22:22,140.0,-20.0
Isabel,2003-09-13 16:08:10,2003-09-14 01:28:43.500000,137.5,-10.0
Isabel,2003-09-14 16:32:41,2003-09-15 00:35:09,135.0,-30.0
Isabel,2003-09-18 14:19:05,2003-09-18 19:27:14,87.5,-80.0
Fabian,2003-09-02 17:04:39,2003-09-02 23:00:12,120.0,-20.0
Fabian,2003-09-03 17:08:58,2003-09-03 22:45:06,110.0,-10.0
Jeanne,2004-09-24 17:20:36,2004-09-25 00:32:34,85.0,10.0
Jeanne,2004-09-25 18:44:37,2004-09-26 02:22:28,105.0,-60.0
Ivan,2004-09-09 16:02:24,2004-09-10 00:28:32,130.0,-10.0
Ivan,2004-09-12 06:00:58,2004-09-13 00:16:15,133.75,20.0
Ivan,2004-09-13 18:09:18,2004-09-14 00:23:50,140.0,-30.0
Ivan,2004-09-14 06:05:02,2004-09-15 00:07:12,121.66666666666667,0.0
Ivan,2004-09-15 00:23:26,2004-09-15 12:28:01,117.5,-10.0
Ivan,2004-09-15 17:49:31,2004-09-16 05:38:14,112.5,-80.0
Frances,2004-08-30 17:52:20,2004-08-31 00:44:03,110.0,20.0
Frances,2004-08-31 16:58:33,2004-08-31 19:37:06,125.0,-10.0
Frances,2004-09-01 16:42:14,2004-09-02 00:37:18,120.0,10.0
Frances,2004-09-02 17:52:09,2004-09-03 00:47:32,110.0,-30.0
Frances,2004-09-03 15:58:41,2004-09-03 23:51:25,90.0,-5.0
